Country,Status
Afghanistan,Developing
Albania,Developing
Algeria,Developing
Angola,Developing
Antigua and Barbuda,Developing
Argentina,Developing
Armenia,Developing
Australia,Developed
Austria,Developed
Azerbaijan,Developing
Bahamas,Developing
Bahrain,Developing
Bangladesh,Developing
Barbados,Developing
Belarus,Developing
Belgium,Developed
Belize,Developing
Benin,Developing
Bhutan,Developing
Bolivia (Plurinational State of),Developing
Bosnia and Herzegovina,Developing
Botswana,Developing
Brazil,Developing
Brunei Darussalam,Developing
Bulgaria,Developed
Burkina Faso,Developing
Burundi,Developing
Côte d'Ivoire,Developing
Cabo Verde,Developing
Cambodia,Developing
Cameroon,Developing
Canada,Developing
Central African Republic,Developing
Chad,Developing
Chile,Developing
China,Developing
Colombia,Developing
Comoros,Developing
Congo,Developing
Cook Islands,Developing
Costa Rica,Developing
Croatia,Developed
Cuba,Developing
Cyprus,Developed
Czechia,Developed
Democratic People's Republic of Korea,Developing
Democratic Republic of the Congo,Developing
Denmark,Developed
Djibouti,Developing
Dominica,Developing
Dominican Republic,Developing
Ecuador,Developing
Egypt,Developing
El Salvador,Developing
Equatorial Guinea,Developing
Eritrea,Developing
Estonia,Developing
Ethiopia,Developing
Fiji,Developing
Finland,Developing
France,Developing
Gabon,Developing
Gambia,Developing
Georgia,Developing
Germany,Developed
Ghana,Developing
Greece,Developing
Grenada,Developing
Guatemala,Developing
Guinea,Developing
Guinea-Bissau,Developing
Guyana,Developing
Haiti,Developing
Honduras,Developing
Hungary,Developed
Iceland,Developed
India,Developing
Indonesia,Developing
Iran (Islamic Republic of),Developing
Iraq,Developing
Ireland,Developed
Israel,Developing
Italy,Developed
Jamaica,Developing
Japan,Developed
Jordan,Developing
Kazakhstan,Developing
Kenya,Developing
Kiribati,Developing
Kuwait,Developing
Kyrgyzstan,Developing
Lao People's Democratic Republic,Developing
Latvia,Developed
Lebanon,Developing
Lesotho,Developing
Liberia,Developing
Libya,Developing
Lithuania,Developed
Luxembourg,Developed
Madagascar,Developing
Malawi,Developing
Malaysia,Developing
Maldives,Developing
Mali,Developing
Malta,Developed
Marshall Islands,Developing
Mauritania,Developing
Mauritius,Developing
Mexico,Developing
Micronesia (Federated States of),Developing
Monaco,Developing
Mongolia,Developing
Montenegro,Developing
Morocco,Developing
Mozambique,Developing
Myanmar,Developing
Namibia,Developing
Nauru,Developing
Nepal,Developing
Netherlands,Developed
New Zealand,Developed
Nicaragua,Developing
Niger,Developing
Nigeria,Developing
Niue,Developing
Norway,Developed
Oman,Developing
Pakistan,Developing
Palau,Developing
Panama,Developing
Papua New Guinea,Developing
Paraguay,Developing
Peru,Developing
Philippines,Developing
Poland,Developed
Portugal,Developed
Qatar,Developing
Republic of Korea,Developing
Republic of Moldova,Developing
Romania,Developed
Russian Federation,Developing
Rwanda,Developing
Saint Kitts and Nevis,Developing
Saint Lucia,Developing
Saint Vincent and the Grenadines,Developing
Samoa,Developing
San Marino,Developing
Sao Tome and Principe,Developing
Saudi Arabia,Developing
Senegal,Developing
Serbia,Developing
Seychelles,Developing
Sierra Leone,Developing
Singapore,Developed
Slovakia,Developed
Slovenia,Developed
Solomon Islands,Developing
Somalia,Developing
South Africa,Developing
South Sudan,Developing
Spain,Developed
Sri Lanka,Developing
Sudan,Developing
Suriname,Developing
Swaziland,Developing
Sweden,Developed
Switzerland,Developed
Syrian Arab Republic,Developing
Tajikistan,Developing
Thailand,Developing
The former Yugoslav republic of Macedonia,Developing
Timor-Leste,Developing
Togo,Developing
Tonga,Developing
Trinidad and Tobago,Developing
Tunisia,Developing
Turkey,Developing
Turkmenistan,Developing
Tuvalu,Developing
Uganda,Developing
Ukraine,Developing
United Arab Emirates,Developing
United Kingdom of Great Britain and Northern Ireland,Developed
United Republic of Tanzania,Developing
United States of America,Developed
Uruguay,Developing
Uzbekistan,Developing
Vanuatu,Developing
Venezuela (Bolivarian Republic of),Developing
Viet Nam,Developing
Yemen,Developing
Zambia,Developing
Zimbabwe,Developing
